legislatura,nome,carteira,dias
56,Abílio Santana ,190,1221
56,Abou Anni ,332,1221
56,Acácio Favacho ,10,1221
56,Adolfo Viana ,191,1221
56,Adriana Ventura ,333,1221
56,Adriano do Baldy ,416,1221
56,Aécio Neves ,221,1221
56,Aelton Freitas,566,521
56,Afonso Florence ,182,1221
56,Afonso Hamm ,487,1221
56,Afonso Motta ,490,1221
56,Aguinaldo Ribeiro ,129,1221
56,Airton Faleiro ,18,1221
56,AJ Albuquerque,87,1221
56,Alan Rick ,53,1221
56,Alceu Moreira ,486,1221
56,Alcides Rodrigues ,419,1221
56,Alê Silva ,222,1221
56,Alencar Santana Braga ,337,1221
56,Alessandro Molon ,287,1221
56,Alex Manente ,331,1221
56,Alex Santana ,194,1221
56,Alexandre Frota ,340,1221
56,Alexandre Leite ,334,1221
56,Alexandre Padilha ,341,1221
56,Alexandre Serfiotis ,284,700
56,Alexis Fonteyne ,343,1221
56,Alice Portugal ,180,1221
56,Aliel Machado ,441,1221
56,Aline Gurgel ,11,1221
56,Aline Sleutjes ,443,1221
56,Altineu Côrtes ,286,320
56,Altineu Côrtes ,286,606
56,Aluisio Mendes ,68,1221
56,Amaro Neto ,275,1221
56,André Abdon ,9,1221
56,André de Paula ,140,1221
56,André Ferreira ,139,1221
56,André Figueiredo ,89,1221
56,André Fufuca ,72,1221
56,André Janones ,223,1221
56,Angela Amin ,471,1221
56,Aníbal Gomes ,541,126
56,Aníbal Gomes ,541,49
56,Aníbal Gomes ,541,250
56,Aníbal Gomes ,541,17
56,Antonio Brito ,189,1221
56,Arlindo Chinaglia ,336,1221
56,Arnaldo Jardim ,339,1221
56,Aroldo Martins ,444,1221
56,Arthur Lira ,162,1221
56,Arthur Oliveira Maia ,192,1221
56,Assis Carvalho ,111,520
56,Átila Lins ,38,1221
56,Átila Lira ,109,1221
56,Augusto Coutinho ,141,1221
56,Áurea Carolina ,224,368
56,Áurea Carolina ,224,733
56,Aureo Ribeiro ,290,1221
56,Bacelar ,184,1221
56,Baleia Rossi ,342,1221
56,Benedita da Silva ,291,1221
56,Benes Leocádio ,120,1221
56,Beto Faro ,19,1221
56,Beto Pereira ,433,1221
56,Beto Rosado ,121,1221
56,Bia Cavassa ,532,153
56,Bia Cavassa ,532,20
56,Bia Cavassa ,532,539
56,Bia Cavassa ,532,421
56,Bia Kicis ,409,1221
56,Bibo Nunes ,489,1221
56,Bilac Pinto ,232,209
56,Bilac Pinto ,232,803
56,Bira do Pindaré ,71,1221
56,Boca Aberta ,445,959
56,Bohn Gass ,499,1221
56,Bosco Costa ,174,1221
56,Bosco Saraiva ,37,1221
56,Bozzella,365,1221
56,Bruna Furlan ,335,1172
56,Cacá Leão ,193,1221
56,Camilo Capiberibe ,12,1221
56,Capitão Alberto Neto ,36,1221
56,Capitão Augusto ,346,1221
56,Capitão Fábio Abreu ,112,55
56,Capitão Fábio Abreu ,112,6
56,Capitão Fábio Abreu ,112,724
56,Capitão Wagner ,88,549
56,Capitão Wagner ,88,467
56,Carla Dickson,557,719
56,Carla Zambelli ,350,1221
56,Carlos Bezerra ,400,26
56,Carlos Bezerra ,400,683
56,Carlos Bezerra ,400,142
56,Carlos Chiodini ,473,1221
56,Carlos Gomes ,492,1221
56,Carlos Henrique Gaguim ,60,1221
56,Carlos Jordy ,285,1221
56,Carlos Sampaio ,338,1221
56,Carlos Veras ,142,1221
56,Carlos Zarattini ,398,1221
56,Carmen Zanotto ,477,789
56,Carmen Zanotto ,477,391
56,Caroline de Toni ,474,1221
56,Cássio Andrade ,20,1221
56,Celina Leão ,410,475
56,Celina Leão ,410,542
56,Célio Moura ,62,1221
56,Célio Silveira ,417,1221
56,Célio Studart ,90,1221
56,Celso Maldaner ,472,1221
56,Celso Russomanno ,347,1221
56,Celso Sabino ,23,1221
56,Cezinha de Madureira ,351,1221
56,Charles Fernandes ,196,1221
56,Charlles Evangelista ,226,1221
56,Chico D'Angelo ,293,1221
56,Chiquinho Brazão ,288,1221
56,Chris Tonietto ,289,1221
56,Christiane de Souza Yared ,442,1221
56,Christino Aureo ,292,1221
56,Clarissa Garotinho ,294,1221
56,Claudio Cajado ,186,1221
56,Cleber Verde ,70,304
56,Cleber Verde ,70,795
56,Coronel Armando ,475,1221
56,Coronel Chrisóstomo ,45,1221
56,Coronel Tadeu ,354,1221
56,Covatti Filho ,493,11
56,Covatti Filho ,493,4
56,Covatti Filho ,493,27
56,Covatti Filho ,493,10
56,Covatti Filho ,493,4
56,Covatti Filho ,493,433
56,Cristiano Vale ,25,1221
56,Da Vitoria ,276,1221
56,Dagoberto Nogueira ,434,1221
56,Damião Feliciano ,127,1221
56,Daniel Almeida ,188,1221
56,Daniel Coelho ,144,1221
56,Daniel Freitas ,476,1221
56,Daniel Silveira ,295,1221
56,Daniel Trzeciak ,491,1221
56,Daniela do Waguinho ,296,1221
56,Danilo Cabral ,148,1221
56,Danilo Forte,558,121
56,Danilo Forte,558,543
56,Danrlei de Deus Hinterholz,495,67
56,Danrlei de Deus Hinterholz ,495,823
56,Danrlei de Deus Hinterholz ,495,12
56,Darci de Matos ,478,579
56,Darci de Matos ,478,521
56,Darcísio Perondi ,529,377
56,David Miranda ,519,1221
56,David Soares,356,85
56,David Soares ,356,1014
56,Delegado Antônio Furtado ,297,1221
56,Delegado Éder Mauro ,22,1221
56,Delegado Marcelo Freitas ,227,1221
56,Delegado Pablo ,40,1221
56,Delegado Waldir ,421,1221
56,Denis Bezerra ,91,802
56,Denis Bezerra ,91,298
56,Deuzinho Filho,559,120
56,Diego Andrade ,228,1221
56,Diego Garcia ,447,1221
56,Dimas Fabiano ,231,1221
56,Domingos Neto ,97,558
56,Domingos Neto ,97,540
56,Domingos Sávio ,233,1221
56,Dr. Agripino Magalhães,560,120
56,Dr. Agripino Magalhães,560,4
56,Dr. Frederico ,229,1221
56,Dr. Gonçalo ,548,120
56,Dr. Gonçalo ,548,18
56,Dr. Gonçalo ,548,182
56,Dr. Jaziel ,92,1221
56,Dr. João,556,123
56,Dr. Leonardo ,402,1221
56,Dr. Luiz Antonio Teixeira Jr. ,298,1221
56,Dr. Luiz Ovando ,435,1221
56,Dr. Sinval Malheiros,554,257
56,Dr. Zacharias Calil ,420,1221
56,Dra. Soraya Manato ,277,1221
56,Dra. Vanda Milani ,59,1221
56,Dulce Miranda ,61,1221
56,Edilázio Júnior ,73,1221
56,Edio Lopes ,2,1221
56,Edmilson Rodrigues ,27,700
56,Edna Henrique,130,52
56,Edna Henrique ,130,1048
56,Eduardo Barbosa ,230,1221
56,Eduardo Bismarck ,93,1221
56,Eduardo Bolsonaro ,352,1221
56,Eduardo Braide ,75,700
56,Eduardo Costa ,28,1221
56,Eduardo Cury ,353,1221
56,Eduardo da Fonte ,156,1221
56,Efraim Filho ,128,1221
56,Elcione Barbalho ,21,1221
56,Eleuses Paiva,600,41
56,Eli Borges ,63,1221
56,Eli Corrêa Filho ,345,314
56,Eli Corrêa Filho ,345,781
56,Elias Vaz ,423,1221
56,Elmar Nascimento ,198,1221
56,Ely Santos,594,121
56,Emanuel Pinheiro Neto ,403,1221
56,Emidinho Madeira ,234,1221
56,Enéias Reis ,533,152
56,Enéias Reis ,533,21
56,Enéias Reis ,533,491
56,Enio Verri ,449,1221
56,Enrico Misasi ,357,1221
56,Erika Kokay ,407,1221
56,Eros Biondini ,242,1221
56,Euclydes Pettersen ,240,1221
56,Evair Vieira de Melo ,274,1221
56,Expedito Netto ,44,1221
56,Fabiano Tolentino ,545,209
56,Fábio Faria ,119,502
56,Fábio Henrique ,175,1221
56,Fábio Mitidieri ,177,1221
56,Fábio Ramalho ,238,1221
56,Fabio Reis ,178,1221
56,Fabio Schiochet ,479,1221
56,Fábio Trad ,436,1221
56,Fausto Pinato ,355,1221
56,Felício Laterça ,299,1221
56,Felipe Carreras ,145,1221
56,Felipe Francischini ,446,1221
56,Felipe Rigoni ,278,1221
56,Félix Mendonça Júnior ,195,1221
56,Fernanda Melchionna ,496,1221
56,Fernando Borja ,547,109
56,Fernando Coelho Filho ,158,1221
56,Fernando Monteiro ,146,1221
56,Fernando Rodolfo ,147,1221
56,Filipe Barros ,450,1221
56,Flávia Arruda,411,67
56,Flávia Arruda ,411,789
56,Flávia Morais ,422,1221
56,Flaviano Melo ,54,1221
56,Flávio Nogueira ,110,1221
56,Flordelis ,300,923
56,Francisco Jr. ,424,1221
56,Franco Cartafina ,241,1221
56,Fred Costa ,244,1221
56,Frei Anastacio Ribeiro ,131,1221
56,Gastão Vieira ,539,442
56,Gastão Vieira ,539,121
56,Gastão Vieira ,539,18
56,Gastão Vieira ,539,279
56,Gastão Vieira ,539,139
56,Gelson Azevedo ,301,1221
56,Genecias Noronha ,99,1221
56,General Girão ,122,1221
56,General Peternelli ,358,1221
56,Geninho Zuliani ,361,1221
56,Geovania de Sá ,482,1221
56,Geraldo Resende ,530,1
56,Geraldo Resende ,530,1
56,Geraldo Resende ,530,1
56,Geraldo Resende ,530,1
56,Gervásio Maia ,133,1221
56,Giacobo ,466,1221
56,Gil Cutrim ,77,1221
56,Gilberto Abramo ,246,1221
56,Gilberto Nascimento ,360,1221
56,Gilson Marques ,480,1221
56,Giovani Cherini ,502,1221
56,Giovani Feltes ,494,1221
56,Glauber Braga ,304,1221
56,Glaustin da Fokus,426,1221
56,Gleisi Hoffmann ,451,1221
56,Gonzaga Patriota ,143,1221
56,GORETE PEREIRA,565,41
56,GORETE PEREIRA,565,70
56,Greyce Elias ,248,279
56,Greyce Elias ,248,821
56,Guiga Peixoto ,363,1221
56,Guilherme Derrite ,344,1221
56,Guilherme Mussi ,348,193
56,Guilherme Mussi ,348,906
56,Gurgel ,321,1221
56,Gustavo Fruet ,452,1221
56,Gustinho Ribeiro ,181,1221
56,Gutemberg Reis ,302,1221
56,Haroldo Cathedral ,1,1166
56,Heitor Freire ,94,1221
56,Heitor Schuch ,504,1221
56,Helder Salomão ,279,1221
56,Hélio Costa ,484,1221
56,Hélio Leite ,32,1221
56,Helio Lopes ,303,1221
56,Henrique do Paraíso,588,116
56,Henrique Fontana ,498,1221
56,Hercílio Coelho Diniz ,254,1221
56,Herculano Passos ,362,1221
56,Hermes Parcianello ,448,1221
56,Hildo Rocha ,74,1221
56,Hiran Gonçalves ,4,1221
56,Hugo Leal ,306,1221
56,Hugo Motta ,132,1221
56,Idilvan Alencar ,95,1221
56,Igor Kannário ,197,1221
56,Igor Timo ,255,1221
56,Iracema Portella ,113,1158
56,Isnaldo Bulhões Jr. ,165,1221
56,Ivan Valente ,359,1221
56,Jandira Feghali ,305,1221
56,Jaqueline Cassol ,47,1221
56,Jefferson Campos ,349,318
56,Jefferson Campos ,349,781
56,Jerônimo Goergen ,505,1221
56,Jéssica Sales ,56,1221
56,Jesus Sérgio ,52,1221
56,Jhc,167,700
56,Jhonatan de Jesus ,5,1221
56,João Campos ,418,1221
56,João Carlos Bacelar ,187,1221
56,João Daniel ,179,1221
56,João H. Campos ,149,700
56,João Maia ,124,1221
56,João Marcelo Souza ,76,1153
56,João Roma,199,67
56,João Roma ,199,754
56,João Roma ,199,2
56,Joaquim Passarinho ,33,1221
56,Joenia Wapichana ,3,1221
56,Joice Hasselmann ,364,1221
56,Jones Moura,592,264
56,Jorge Braz ,518,1221
56,Jorge Goetten,563,116
56,Jorge Solla ,204,1221
56,Jorielson,595,150
56,José Airton Félix Cirilo ,101,1221
56,José Guimarães ,103,1221
56,Jose Mario Schreiner ,427,1221
56,José Medeiros ,404,1221
56,José Nelto ,428,1221
56,José Nunes ,201,1182
56,José Priante ,26,1221
56,José Ricardo ,41,1221
56,José Rocha ,203,1221
56,Joseildo Ramos ,537,223
56,Joseildo Ramos ,537,950
56,Josias Gomes,202,66
56,Josias Gomes ,202,40
56,Josias Gomes ,202,7
56,Josias Gomes ,202,5
56,Josimar Maranhãozinho ,78,375
56,Josimar Maranhãozinho ,78,675
56,Josivaldo JP,568,521
56,Juarez Costa ,401,1221
56,Julian Lemos ,134,1221
56,Júlio Cesar ,114,1221
56,Julio Cesar Ribeiro ,412,1221
56,Júlio Delgado ,250,1221
56,Julio Lopes,586,150
56,Julio Lopes,586,133
56,Juninho do Pneu ,308,866
56,Juninho do Pneu ,308,13
56,Juninho do Pneu ,308,194
56,Junio Amaral ,225,1221
56,Júnior Ferrari ,29,1221
56,Junior Lourenço ,80,505
56,Junior Lourenço ,80,588
56,Júnior Mano ,100,1221
56,Juscelino Filho ,79,1221
56,Kim Kataguiri ,366,1221
56,Laercio Oliveira ,176,1221
56,Laerte Bessa,580,358
56,Lafayette de Andrada ,256,1221
56,Laura Carneiro,587,1
56,Laura Carneiro,587,1
56,Lauriete ,281,1221
56,Leandre ,453,1221
56,Leda Sadala ,14,1221
56,Leo de Brito,564,577
56,Léo Moraes ,48,1221
56,Léo Motta ,257,1221
56,Leonardo Gadelha,578,129
56,Leonardo Gadelha,578,165
56,Leonardo Monteiro ,253,1221
56,Leonardo Picciani,589,46
56,Leonardo Picciani,589,82
56,Leonardo Picciani,589,5
56,Leonardo Picciani,589,122
56,Leônidas Cristino ,96,1221
56,Leur Lomanto Júnior ,200,1221
56,Lídice da Mata ,185,1221
56,Lincoln Portela ,243,1221
56,Liziane Bayer ,500,1221
56,Loester Trutis ,439,1221
56,Lourival Gomes ,309,1221
56,Lucas Gonzalez ,258,1221
56,Lucas Redecker ,501,1221
56,Lucas Vergilio ,430,1221
56,Luciano Bivar ,150,1221
56,Luciano Ducci ,457,1221
56,Lucio Mosquini ,46,1221
56,Luis Miranda ,525,1221
56,Luis Tibé ,251,1221
56,Luisa Canziani ,454,1221
56,Luiz Antônio Corrêa ,310,1221
56,Luiz Carlos,17,63
56,Luiz Carlos ,17,902
56,Luiz Carlos Motta ,367,1221
56,Luiz Flávio Gomes ,381,376
56,Luiz Lauro Filho ,550,153
56,Luiz Lima ,311,1221
56,Luiz Nishimori ,459,1221
56,Luiz Philippe de Orleans e Bragança ,368,1221
56,Luiza Erundina ,371,1221
56,Luizão Goulart ,463,1221
56,Luizianne Lins ,98,689
56,Luizianne Lins ,98,411
56,Magda Mofatto ,431,1221
56,Major Fabiana ,312,187
56,Major Fabiana ,312,956
56,Manuel Marcos ,55,643
56,Mara Rocha ,57,1221
56,Marcão Gomes ,551,295
56,Marcel van Hattem,503,1221
56,Marcelo Álvaro Antônio ,235,1
56,Marcelo Álvaro Antônio ,235,7
56,Marcelo Álvaro Antônio ,235,2
56,Marcelo Álvaro Antônio ,235,542
56,Marcelo Aro ,236,1221
56,Marcelo Brum ,526,2
56,Marcelo Brum ,526,148
56,Marcelo Brum ,526,22
56,Marcelo Brum ,526,540
56,Marcelo Brum ,526,24
56,Marcelo Brum ,526,253
56,Marcelo Brum ,526,129
56,Marcelo Calero,313,7
56,Marcelo Calero,313,66
56,Marcelo Calero ,313,700
56,Marcelo Calero ,313,5
56,Marcelo Calero ,313,1
56,Marcelo Calero ,313,6
56,Marcelo Calero ,313,4
56,Marcelo Calero ,313,12
56,Marcelo Calero ,313,6
56,Marcelo Calero ,313,3
56,Marcelo Calero ,313,3
56,Marcelo Freixo ,315,1221
56,Marcelo Moraes ,506,1221
56,Marcelo Nilo ,205,1221
56,Marcelo Ramos ,42,1221
56,Marcelo Squassoni,596,85
56,Marcelo Squassoni,596,36
56,Marcio Alvino ,370,1221
56,Márcio Biolchi ,515,1221
56,Márcio Jerry,82,62
56,Márcio Jerry ,82,710
56,Márcio Jerry ,82,3
56,Márcio Jerry ,82,4
56,Márcio Labre ,316,1221
56,Márcio Macêdo,601,37
56,Márcio Marinho ,212,1221
56,Marco Bertaiolli ,369,1221
56,Marcon ,507,1221
56,Marcos Aurélio Sampaio ,115,1221
56,Marcos Pereira ,373,1221
56,Marcos Soares ,574,25
56,Marcos Soares ,574,20
56,Marcos Soares ,574,47
56,Marcos Soares ,574,212
56,Marcos Soares ,574,199
56,Margarete Coelho ,117,1221
56,Margarida Salomão ,237,700
56,Maria do Rosário ,508,1221
56,Maria Rosas,374,52
56,Maria Rosas ,374,1048
56,Mariana Carvalho ,51,1221
56,Marília Arraes ,151,1221
56,Marina Santos ,118,1221
56,Mário Heringer ,239,1221
56,Mário Negromonte Jr. ,208,1221
56,Marlon Santos ,509,1221
56,Marreca Filho ,83,1221
56,Marx Beltrão ,169,1221
56,Maurício Dziedricki ,511,1221
56,Mauro Benevides Filho ,102,116
56,Mauro Benevides Filho ,102,463
56,Mauro Benevides Filho ,102,7
56,Mauro Benevides Filho ,102,39
56,Mauro Benevides Filho ,102,154
56,Mauro Lopes ,252,1221
56,Mauro Nazif ,49,1221
56,Merlong Solano ,540,75
56,Merlong Solano ,540,14
56,Merlong Solano ,540,698
56,Miguel Haddad ,544,115
56,Miguel Haddad ,544,125
56,Miguel Haddad ,544,122
56,Miguel Lombardi ,378,1221
56,Milton Coelho,569,521
56,Milton Vieira ,375,868
56,Milton Vieira ,375,232
56,Misael Varella ,245,1221
56,Moses Rodrigues ,106,250
56,Moses Rodrigues ,106,849
56,Natália Bonavides ,126,1221
56,Nelho Bezerra,598,82
56,Nelson Barbudo ,405,1221
56,Nelson Pellegrino ,209,300
56,Nereu Crispim ,512,1221
56,Neri Geller ,406,1221
56,Neucimar Fraga,572,521
56,Newton Cardoso Jr ,247,1221
56,Ney Leprevost,456,60
56,Ney Leprevost ,456,3
56,Ney Leprevost ,456,92
56,Nicoletti ,6,1221
56,Nilson F. Stainsack,561,114
56,Nilson Pinto ,31,1221
56,Nilto Tatto ,382,1221
56,Nivaldo Albuquerque ,166,1221
56,Norma Ayub ,282,1221
56,Norma Pereira,579,41
56,Odair Cunha ,269,1221
56,Odorico Monteiro,582,118
56,Olival Marques ,30,1221
56,Onyx Lorenzoni,510,67
56,Onyx Lorenzoni ,510,2
56,Onyx Lorenzoni ,510,2
56,Onyx Lorenzoni ,510,6
56,Onyx Lorenzoni ,510,2
56,Onyx Lorenzoni ,510,4
56,Onyx Lorenzoni ,510,5
56,Onyx Lorenzoni ,510,11
56,Orlando Silva ,386,1221
56,Osires Damaso ,64,1221
56,Osmar Serraglio,593,262
56,Osmar Terra ,497,4
56,Osmar Terra ,497,840
56,Ossesio Silva ,152,1221
56,Otavio Leite,575,27
56,Otavio Leite,575,16
56,Otavio Leite,575,5
56,Otavio Leite,575,22
56,Otavio Leite,575,100
56,Otavio Leite,575,22
56,Otavio Leite,575,64
56,Otavio Leite,575,25
56,Otavio Leite,575,96
56,Otavio Leite,575,30
56,Otoni de Paula ,317,1221
56,Ottaci Nascimento,7,586
56,Ottaci Nascimento,7,513
56,Otto Alencar Filho ,206,1221
56,Padre João ,259,1221
56,Paes Landim,542,63
56,Paes Landim ,542,127
56,Paes Landim ,542,220
56,Pastor Eurico ,155,1221
56,Pastor Gil,84,1221
56,Pastor Sargento Isidório ,207,1221
56,Patricia Ferraz ,549,200
56,Patrick Dorneles,597,52
56,Patrus Ananias ,249,1221
56,Paula Belmonte ,414,1221
56,Paulão ,170,1221
56,Paulo Abi-Ackel,263,1221
56,Paulo Azi ,215,1221
56,Paulo Bengtson ,34,1221
56,Paulo Eduardo Martins ,458,1221
56,Paulo Foletto,280,68
56,Paulo Foletto ,280,4
56,Paulo Freire Costa ,380,1221
56,Paulo Ganime ,318,1221
56,Paulo Guedes ,260,1221
56,Paulo Magalhães,538,35
56,Paulo Magalhães ,538,202
56,Paulo Magalhães ,538,428
56,Paulo Magalhães ,538,421
56,Paulo Marinho Jr,552,48
56,Paulo Marinho Jr ,552,119
56,Paulo Marinho Jr ,552,124
56,Paulo Pereira da Silva ,372,1221
56,Paulo Pimenta ,513,1221
56,Paulo Ramos ,319,1221
56,Paulo Teixeira ,376,1221
56,Paulo Vicente Caleffi,584,190
56,Paulo Vicente Caleffi,584,129
56,Pedro Augusto Bezerra ,104,1221
56,Pedro Augusto Palareti,573,521
56,Pedro Cunha Lima ,135,797
56,Pedro Cunha Lima ,135,193
56,Pedro Dalua,590,250
56,Pedro Lucas Fernandes ,85,1221
56,Pedro Lupion ,461,1221
56,Pedro Paulo,314,66
56,Pedro Paulo ,314,700
56,Pedro Paulo ,314,8
56,Pedro Paulo ,314,7
56,Pedro Paulo ,314,1
56,Pedro Paulo ,314,1
56,Pedro Paulo ,314,7
56,Pedro Uczai ,481,1221
56,Pedro Vilela,571,521
56,Pedro Westphalen ,514,1221
56,Perpétua Almeida ,58,1221
56,Pinheirinho ,261,1221
56,Policial Katia Sastre ,377,1221
56,Pompeo de Mattos ,516,1221
56,Pr. Marco Feliciano ,379,1221
56,Professor Alcides ,432,1221
56,Professor Israel Batista ,415,1221
56,Professor Joziel ,320,1221
56,Professora Dayane Pimentel ,210,1221
56,Professora Dorinha Seabra Rezende,67,1221
56,Professora Marcivania ,15,1221
56,Professora Rosa Neide ,408,1221
56,Rachel Marques,576,9
56,Rafael Motta ,123,1221
56,Rafafá,581,107
56,Raimundo Costa ,211,1221
56,Raul Henry ,153,1221
56,Reginaldo Lopes ,272,1221
56,Reinhold Stephanes Junior ,528,498
56,Reinhold Stephanes Junior ,528,564
56,Rejane Dias ,116,1221
56,Renata Abreu ,330,396
56,Renata Abreu ,330,567
56,Renato Queiroz,562,121
56,Renildo Calheiros ,154,1221
56,Ricardo Barros ,462,1221
56,Ricardo da Karol,567,521
56,Ricardo Guidi ,485,1221
56,Ricardo Izar ,383,1221
56,Ricardo Pericar ,543,78
56,Ricardo Silva,553,59
56,Ricardo Silva,553,747
56,Ricardo Teobaldo ,157,1221
56,Robério Monteiro ,105,824
56,Robério Monteiro ,105,298
56,Roberto Alves,387,88
56,Roberto Alves ,387,1011
56,Roberto de Lucena ,385,1221
56,Roberto Pessoa ,107,502
56,Roberto Pessoa ,107,55
56,Rodrigo Agostinho ,384,1221
56,Rodrigo Coelho ,488,1221
56,Rodrigo de Castro ,268,1221
56,Rodrigo Maia ,322,942
56,Rodrigo Maia ,322,34
56,Rogério Correia ,262,1221
56,Rogério Peninha Mendonça ,483,608
56,Rogério Peninha Mendonça ,483,492
56,Roman ,527,1157
56,Ronaldo Carletto ,216,1221
56,Ronaldo Martins ,546,122
56,Ronaldo Martins ,546,123
56,Rosana Valle ,388,1221
56,Rosangela Gomes ,325,1221
56,Rose Modesto ,440,1221
56,Rossoni,583,405
56,RRenato Queiroz,562,54
56,Rubens Bueno ,460,1221
56,Rubens Otoni ,425,1221
56,Rubens Pereira Júnior ,81,24
56,Rubens Pereira Júnior ,81,2
56,Rubens Pereira Júnior ,81,99
56,Rubens Pereira Júnior ,81,4
56,Rubens Pereira Júnior ,81,307
56,Rui Falcão ,390,1221
56,Ruy Carneiro ,137,788
56,Ruy Carneiro ,137,312
56,Sâmia Bomfim ,391,1221
56,Samuel Moreira ,389,1221
56,Sanderson ,517,1221
56,Sandro Alex,465,63
56,Sandro Alex ,465,3
56,Santini ,534,251
56,Santini ,534,74
56,Santini ,534,358
56,Santini ,534,21
56,Santini ,534,28
56,Sargento Fahur ,464,1221
56,Schiavinato ,469,802
56,Sebastião Oliveira ,159,1221
56,Sérgio Brito ,213,41
56,Sérgio Brito ,213,978
56,Sergio Souza ,467,1221
56,Sergio Toledo ,168,1221
56,Sergio Vidigal ,283,699
56,Severino Pessoa ,172,1221
56,Shéridan ,8,1221
56,Sidney Leite ,43,1221
56,Silas Câmara ,39,1221
56,Silvia Cristina ,50,1221
56,Silvio Costa Filho ,160,1221
56,Simplício Araújo ,535,17
56,Simplício Araújo ,535,1
56,Soraya Santos ,328,1221
56,Sóstenes Cavalcante ,329,1221
56,Stefano Aguiar ,267,1221
56,Subtenente Gonzaga ,273,1221
56,Tabata Amaral ,393,1221
56,Tadeu Alencar ,161,1221
56,Tadeu Filippelli,555,204
56,Talíria Petrone ,323,1221
56,Ted Conti ,531,1149
56,Tereza Cristina,437,67
56,Tereza Cristina ,437,4
56,Tereza Cristina ,437,7
56,Tereza Cristina ,437,2
56,Tereza Cristina ,437,4
56,Tereza Nelma ,173,1221
56,Tia Eron,577,258
56,Tia Eron,577,133
56,Tiago Dimas ,65,1221
56,Tiago Mitraud ,264,1221
56,Tiririca ,392,1221
56,Tito ,214,483
56,Tito ,214,615
56,Toninho Wandscheer ,470,1221
56,Totonho Lopes,585,99
56,Túlio Gadêlha ,163,1221
56,Uldurico Junior ,220,1221
56,Vaidon Oliveira ,108,516
56,Vaidon Oliveira ,108,580
56,Valdevan Noventa ,183,1181
56,Valdevan Noventa ,183,3
56,Valmir Assunção ,218,1221
56,Valtenir Pereira,536,96
56,Valtenir Pereira ,536,122
56,Valtenir Pereira ,536,151
56,Vander Loubet ,438,1221
56,Vanderlei Macris ,394,1221
56,Vavá Martins ,35,1221
56,Vermelho ,455,1221
56,Vicentinho ,396,1221
56,Vicentinho Júnior ,66,1221
56,Victor Mendes,599,68
56,Vilson da Fetaemg ,265,1221
56,Vinicius Carvalho ,397,1221
56,Vinicius Farah,324,66
56,Vinicius Farah ,324,864
56,Vinicius Farah ,324,1
56,Vinicius Farah ,324,1
56,Vinicius Gurgel,16,37
56,Vinicius Gurgel ,16,307
56,Vinicius Gurgel ,16,526
56,Vinicius Poit ,395,1221
56,Vitor Hugo ,429,1221
56,Vitor Lippi ,399,1221
56,Vivi Reis,570,521
56,Waldenor Pereira ,219,1221
56,Walter Alves ,125,1221
56,Weliton Prado ,270,1221
56,Wellington Roberto ,136,1221
56,Wilson Santiago ,138,325
56,Wilson Santiago ,138,852
56,Wladimir Garotinho ,327,700
56,Wolney Queiroz ,164,1221
56,Zé Augusto Nalin,591,57
56,Zé Carlos ,86,1221
56,Zé Neto ,217,1221
56,Zé Silva ,271,1221
56,Zé Vitor ,266,1221
56,Zeca Dirceu ,468,1221
