"","ano","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"101","2015","AC","PSDB",54,2246,8,506724,44260.6,1109.69,"23"
"1062","2015","AL","PODEMOS",9,1485,9,1995727,40572.24,34512.66,"67"
"1159","2015","AM","MDB",65,1932,8,2226891,43198.26,1763.49,"5"
"1669","2015","AP","PP",38,1791,8,455514,43002.92,26500,"6"
"2759","2015","BA","MDB",65,1060,39,10185417,38638.99,32591.51,"33"
"4092","2015","CE","SOLIDARIEDADE",15,1687,22,6271554,42079.91,2118.84,"101"
"4916","2015","DF","PL",34,0,8,1897677,30416.8,95000,"22"
"5153","2015","ES","PSL",1,947,10,2653536,37052.05,95726.05,"4"
"6107","2015","GO","MDB",65,173,17,4331733,35135.2,71474.3,"15"
"7543","2015","MA","PTB",25,1524,18,4497336,41779.83,20000,"63"
"7848","2015","MG","DEM",21,624,53,15248681,35720.85,1744.08,"12"
"9717","2015","MS","PDT",20,878,8,1818937,40170.98,2382.1,"22"
"10534","2015","MT","MDB",65,873,8,2189703,39056.17,73317.15,"64"
"11274","2015","PA","PSD",36,1592,17,5188450,41855.59,7030.87,"67"
"12266","2015","PB","MDB",65,1716,12,2835882,41660.7,64541.43,"83"
"13013","2015","PE","PP",38,1657,25,6356307,41304.94,38000,"46"
"14402","2015","PI","PSB",34,1313,10,2345694,40599.91,197083.22,"96"
"15584","2015","PR","PP",38,1081,30,7865950,38500,88033.31,"109"
"15280","2015","PR","PSB",34,1081,30,7865950,38500,123426.45,"43"
"16436","2015","RJ","PSOL",5,933,46,12141145,35388.11,57860.32,"110"
"17886","2015","RN","PSB",34,1775,8,2327451,42360.13,38324.52,"60"
"18443","2015","RO","DEM",21,1900,8,1127154,43300.63,2072.91,"70"
"18981","2015","RR","REPUBLICANOS",21,2496,8,299558,45240.67,40000,"52"
"20270","2015","RS","PSDB",54,1619,31,8392033,40504.04,17780.51,"120"
"20409","2015","SC","PCdoB",10,1314,16,4859324,39505.92,7908.13,"5"
"21356","2015","SE","PSD",36,1292,8,1454165,39767.4,2742.82,"6"
"22906","2015","SP","CIDADANIA",10,873,70,31998432,36671.67,662.3,"176"
"21989","2015","SP","DEM",21,873,70,31998432,36671.67,655.51,"30"
"23946","2015","TO","DEM",21,620,8,996887,39131.75,2296,"36"
"530","2016","AC","PSDB",54,2246,8,506724,44260.6,66600.55,"64"
"1045","2016","AL","PT",68,1485,9,1995727,40572.24,23697.17,"70"
"1261","2016","AM","DEM",21,1932,8,2226891,43198.26,28916.06,"32"
"1737","2016","AP","PODEMOS",9,1791,8,455514,43002.92,70721.1,"21"
"3219","2016","BA","PCdoB",10,1060,39,10185417,38638.99,158880,"116"
"3908","2016","CE","PODEMOS",9,1687,22,6271554,42079.91,87839.35,"69"
"5060","2016","DF","PSDB",54,0,8,1897677,30416.8,9940.05,"69"
"5770","2016","ES","PP",38,947,10,2653536,37052.05,4186.5,"74"
"6384","2016","GO","PL",34,173,17,4331733,35135.2,32000,"74"
"6898","2016","MA","PSDB",54,1524,18,4497336,41779.83,42681.81,"39"
"9216","2016","MG","PODEMOS",9,624,53,15248681,35720.85,252793.54,"128"
"9743","2016","MS","PDT",20,878,8,1818937,40170.98,79755.63,"32"
"10033","2016","MT","PSL",1,873,8,2189703,39056.17,183755,"9"
"11558","2016","PA","PT",68,1592,17,5188450,41855.59,77000,"126"
"11760","2016","PB","PTB",25,1716,12,2835882,41660.7,18973.14,"39"
"12878","2016","PE","PODEMOS",9,1657,25,6356307,41304.94,17780.55,"19"
"14316","2016","PI","MDB",65,1313,10,2345694,40599.91,7051.62,"80"
"15237","2016","PR","PSDB",54,1081,30,7865950,38500,36971.94,"51"
"15583","2016","PR","PTB",25,1081,30,7865950,38500,320.68,"122"
"15957","2016","RJ","PSOL",5,933,46,12141145,35388.11,3583.1,"17"
"15892","2016","RJ","PSD",36,933,46,12141145,35388.11,14059.1,"2"
"17449","2016","RN","MDB",65,1775,8,2327451,42360.13,38571.85,"19"
"18421","2016","RO","REPUBLICANOS",21,1900,8,1127154,43300.63,51714.33,"62"
"18901","2016","RR","MDB",65,2496,8,299558,45240.67,4313.35,"31"
"20117","2016","RS","PSD",36,1619,31,8392033,40504.04,369.16,"78"
"20726","2016","SC","DEM",21,1314,16,4859324,39505.92,829.4,"73"
"21478","2016","SE","PROS",11,1292,8,1454165,39767.4,15260.54,"39"
"22822","2016","SP","PSD",36,873,70,31998432,36671.67,21420.23,"156"
"22775","2016","SP","PV",8,873,70,31998432,36671.67,121207.32,"144"
"24015","2016","TO","MDB",65,620,8,996887,39131.75,947.19,"49"
"70","2017","AC","PT",68,2246,8,506724,44260.6,9984.03,"21"
"1016","2017","AL","PSDB",54,1485,9,1995727,40572.24,17597.66,"41"
"1181","2017","AM","REPUBLICANOS",21,1932,8,2226891,43198.26,84750,"8"
"1806","2017","AP","PDT",20,1791,8,455514,43002.92,65500,"35"
"2722","2017","BA","MDB",65,1060,39,10185417,38638.99,247,"23"
"3991","2017","CE","PSD",36,1687,22,6271554,42079.91,35314.02,"81"
"4951","2017","DF","PSD",36,0,8,1897677,30416.8,42000,"37"
"5796","2017","ES","MDB",65,947,10,2653536,37052.05,95951.55,"79"
"6356","2017","GO","PSL",1,173,17,4331733,35135.2,584.54,"69"
"7593","2017","MA","PP",38,1524,18,4497336,41779.83,15539.34,"68"
"9267","2017","MG","PROS",11,624,53,15248681,35720.85,175450,"145"
"7967","2017","MG","PP",38,624,53,15248681,35720.85,4105,"44"
"9652","2017","MS","MDB",65,878,8,1818937,40170.98,114243.41,"12"
"10435","2017","MT","PSDB",54,873,8,2189703,39056.17,23586.65,"54"
"11269","2017","PA","PSOL",5,1592,17,5188450,41855.59,1862.92,"61"
"12336","2017","PB","DEM",21,1716,12,2835882,41660.7,10248.01,"95"
"13285","2017","PE","PSL",1,1657,25,6356307,41304.94,35125.8,"99"
"13954","2017","PI","MDB",65,1313,10,2345694,40599.91,119815,"37"
"15744","2017","PR","PSDB",54,1081,30,7865950,38500,1211.64,"163"
"15485","2017","PR","PP",38,1081,30,7865950,38500,94041.22,"101"
"16581","2017","RJ","PROS",11,933,46,12141145,35388.11,19857.27,"159"
"15936","2017","RJ","REDE",NA,933,46,12141145,35388.11,555.84,"14"
"17546","2017","RN","MDB",65,1775,8,2327451,42360.13,672,"39"
"18445","2017","RO","PSDB",54,1900,8,1127154,43300.63,70400,"62"
"19016","2017","RR","PODEMOS",9,2496,8,299558,45240.67,130546.76,"47"
"19237","2017","RS","PSDB",54,1619,31,8392033,40504.04,36700,"42"
"20597","2017","SC","PSDB",54,1314,16,4859324,39505.92,86909.42,"50"
"21410","2017","SE","PP",38,1292,8,1454165,39767.4,4931.95,"19"
"22028","2017","SP","PSC",13,873,70,31998432,36671.67,27067.29,"26"
"22157","2017","SP","PSOL",5,873,70,31998432,36671.67,5010.11,"49"
"23954","2017","TO","PP",38,620,8,996887,39131.75,411,"39"
"90","2018","AC","PSB",34,2246,8,506724,44260.6,317,"22"
"800","2018","AL","PT",68,1485,9,1995727,40572.24,216,"11"
"1274","2018","AM","PSDB",54,1932,8,2226891,43198.26,151100,"33"
"1845","2018","AP","PSD",36,1791,8,455514,43002.92,20417.14,"46"
"3058","2018","BA","MDB",65,1060,39,10185417,38638.99,37850.56,"89"
"3818","2018","CE","PSDB",54,1687,22,6271554,42079.91,78825.77,"38"
"4891","2018","DF","PODEMOS",9,0,8,1897677,30416.8,5875.42,"20"
"5311","2018","ES","DEM",21,947,10,2653536,37052.05,80623.88,"35"
"6131","2018","GO","PL",34,173,17,4331733,35135.2,249.34,"14"
"7529","2018","MA","PATRIOTA",5,1524,18,4497336,41779.83,1305.85,"66"
"7889","2018","MG","SOLIDARIEDADE",15,624,53,15248681,35720.85,28502.48,"26"
"9634","2018","MS","PT",68,878,8,1818937,40170.98,26792.89,"15"
"10043","2018","MT","PSDB",54,873,8,2189703,39056.17,2041.18,"6"
"11437","2018","PA","PL",34,1592,17,5188450,41855.59,1251,"94"
"11640","2018","PB","PDT",20,1716,12,2835882,41660.7,3775.77,"19"
"12847","2018","PE","PCdoB",10,1657,25,6356307,41304.94,21021.56,"7"
"13835","2018","PI","MDB",65,1313,10,2345694,40599.91,9800,"15"
"15567","2018","PR","PSD",36,1081,30,7865950,38500,39630.9,"107"
"15193","2018","PR","PSD",36,1081,30,7865950,38500,198639.6,"35"
"16638","2018","RJ","PODEMOS",9,933,46,12141145,35388.11,2493.8,"156"
"17515","2018","RN","DEM",21,1775,8,2327451,42360.13,69851.14,"28"
"18266","2018","RO","DEM",21,1900,8,1127154,43300.63,14330.95,"21"
"18967","2018","RR","MDB",65,2496,8,299558,45240.67,38668.88,"32"
"20272","2018","RS","PSDB",54,1619,31,8392033,40504.04,8262.4,"105"
"20693","2018","SC","PSDB",54,1314,16,4859324,39505.92,244.48,"71"
"21542","2018","SE","PL",34,1292,8,1454165,39767.4,10018.99,"40"
"21899","2018","SP","PSDB",54,873,70,31998432,36671.67,74777.75,"10"
"23627","2018","TO","MDB",65,620,8,996887,39131.75,146505.9,"32"
"291","2019","AC","MDB",65,2246,8,506724,44260.6,10820.08,"46"
"959","2019","AL","PL",34,1485,9,1995727,40572.24,3896.05,"70"
"1186","2019","AM","PL",34,1932,8,2226891,43198.26,200,"5"
"2198","2019","AP","PCdoB",10,1791,8,512110,43002.92,3302,"92"
"2292","2019","BA","PODEMOS",17,1060,39,10393170,38638.99,15194.25,"13"
"2853","2019","BA","PODEMOS",9,1060,39,10185417,38638.99,3441.33,"116"
"4615","2019","CE","PT",54,1687,22,6344483,42079.91,12070.43,"151"
"4894","2019","DF","SOLIDARIEDADE",15,0,8,1897677,30416.8,672.58,"30"
"5798","2019","ES","PDT",20,947,10,2653536,37052.05,2433.86,"127"
"6668","2019","GO","UNIÃO",52,173,17,4454497,35135.2,2415.87,"133"
"7773","2019","MA","CIDADANIA",10,1524,18,4497336,41779.83,5950,"178"
"6796","2019","MA","PT",68,1524,18,4497336,41779.83,876.15,"7"
"8210","2019","MG","PV",4,624,53,15700966,35720.85,32196.29,"99"
"7820","2019","MG","PSDB",54,624,53,15248681,35720.85,34853.52,"7"
"9796","2019","MS","PDT",20,878,8,1818937,40170.98,1978.02,"67"
"10265","2019","MT","REPUBLICANOS",21,873,8,2189703,39056.17,25000,"37"
"11573","2019","PA","PSD",35,1592,17,5499283,41855.59,9003.79,"174"
"11000","2019","PA","PSD",36,1592,17,5188450,41855.59,1181.65,"106"
"11727","2019","PB","PSC",13,1716,12,2835882,41660.7,699.78,"18"
"12680","2019","PE","PSD",35,1657,25,6570072,41304.94,13003.4,"74"
"12639","2019","PE","CIDADANIA",8,1657,25,6570072,41304.94,28837.67,"65"
"14260","2019","PI","PP",38,1313,10,2370894,40599.91,3281.11,"83"
"14550","2019","PR","REPUBLICANOS",30,1081,30,7971087,38500,82393.86,"26"
"15456","2019","PR","PV",8,1081,30,7865950,38500,892.26,"218"
"16861","2019","RJ","PDT",28,933,46,12408340,35388.11,18702.45,"153"
"16500","2019","RJ","PSB",34,933,46,12141145,35388.11,705,"95"
"17921","2019","RN","PODEMOS",9,1775,8,2327451,42360.13,51500,"101"
"18232","2019","RO","MDB",65,1900,8,1127154,43300.63,3088.81,"67"
"18781","2019","RR","PP",38,2496,8,333464,45240.67,56778.03,"67"
"19542","2019","RS","PODEMOS",17,1619,31,8354732,40504.04,152899.3,"75"
"19969","2019","RS","REPUBLICANOS",30,1619,31,8354732,40504.04,39915.8,"174"
"21144","2019","SC","PSD",35,1314,16,5070212,39505.92,16342.88,"117"
"21545","2019","SE","MDB",65,1292,8,1454165,39767.4,4275.78,"31"
"23088","2019","SP","UNIÃO",52,873,70,33040411,36671.67,57546,"226"
"21987","2019","SP","PSL",1,873,70,31998432,36671.67,13876.83,"22"
"23711","2019","TO","MDB",34,620,8,1039439,39131.75,5461.86,"36"
"395","2020","AC","PDT",28,2246,8,547680,44260.6,812.57,"41"
"593","2020","AL","MDB",34,1485,9,2187967,40572.24,99469.49,"7"
"1406","2020","AM","PT",54,1932,8,2428098,43198.26,33600,"21"
"2150","2020","AP","PCdoB",10,1791,8,512110,43002.92,48972.61,"37"
"2269","2020","BA","AVANTE",7,1060,39,10393170,38638.99,61817.61,"8"
"4352","2020","CE","PSB",32,1687,22,6344483,42079.91,89200,"2"
"5076","2020","DF","PP",38,0,8,2084356,30416.8,48640,"28"
"5412","2020","ES","UNIÃO",52,947,10,2754728,37052.05,2216.17,"17"
"6033","2020","GO","SOLIDARIEDADE",13,173,17,4454497,35135.2,56899.95,"44"
"7157","2020","MA","PCdoB",10,1524,18,4537237,41779.83,71582.3,"24"
"8867","2020","MG","PT",54,624,53,15700966,35720.85,25526.16,"188"
"8716","2020","MG","PSOL",10,624,53,15700966,35720.85,6800,"156"
"9598","2020","MS","PSDB",29,878,8,1877982,40170.98,309,"28"
"10119","2020","MT","MDB",34,873,8,2330281,39056.17,69458.97,"12"
"10624","2020","PA","PP",38,1592,17,5499283,41855.59,153624.63,"12"
"11917","2020","PB","PP",38,1716,12,2867649,41660.7,74750,"16"
"12743","2020","PE","REDE",1,1657,25,6570072,41304.94,80012.25,"72"
"14237","2020","PI","REPUBLICANOS",30,1313,10,2370894,40599.91,271797.38,"37"
"14571","2020","PR","CIDADANIA",8,1081,30,7971087,38500,25528.25,"12"
"16743","2020","RJ","REPUBLICANOS",30,933,46,12408340,35388.11,464.1,"8"
"17800","2020","RN","PP",38,1775,8,2373619,42360.13,127101.01,"47"
"17935","2020","RO","PL",33,1900,8,1175733,43300.63,2639.5,"2"
"18694","2020","RR","REPUBLICANOS",30,2496,8,333464,45240.67,91839.41,"44"
"19656","2020","RS","PL",33,1619,31,8354732,40504.04,10474.37,"63"
"20931","2020","SC","CIDADANIA",8,1314,16,5070212,39505.92,7419.03,"14"
"21859","2020","SE","PP",38,1292,8,1577058,39767.4,19514.98,"45"
"23404","2020","SP","PROS",8,873,70,33040411,36671.67,8533.1,"142"
"23768","2020","TO","PT",54,620,8,1039439,39131.75,8548.5,"31"
"214","2021","AC","PCdoB",10,2246,8,547680,44260.6,530,"6"
"671","2021","AL","PSD",35,1485,9,2187967,40572.24,10418.1,"26"
"1451","2021","AM","UNIÃO",52,1932,8,2428098,43198.26,4129.1,"29"
"2084","2021","AP","MDB",34,1791,8,512110,43002.92,6998.71,"29"
"2386","2021","BA","AVANTE",7,1060,39,10393170,38638.99,28000,"29"
"4484","2021","CE","PP",38,1687,22,6344483,42079.91,128392.45,"24"
"5118","2021","DF","PSB",32,0,8,2084356,30416.8,48000,"35"
"5400","2021","ES","UNIÃO",52,947,10,2754728,37052.05,109907.88,"13"
"5855","2021","GO","SOLIDARIEDADE",13,173,17,4454497,35135.2,40143,"11"
"7408","2021","MA","PP",38,1524,18,4537237,41779.83,121774,"68"
"8020","2021","MG","PROS",8,624,53,15700966,35720.85,6316.91,"8"
"9928","2021","MS","UNIÃO",52,878,8,1877982,40170.98,2702.4,"37"
"10352","2021","MT","REPUBLICANOS",30,873,8,2330281,39056.17,40644.88,"31"
"10811","2021","PA","UNIÃO",52,1592,17,5499283,41855.59,271214.58,"50"
"11876","2021","PB","PP",38,1716,12,2867649,41660.7,148000,"2"
"13658","2021","PE","CIDADANIA",8,1657,25,6570072,41304.94,34492.71,"107"
"14160","2021","PI","PSD",35,1313,10,2370894,40599.91,204500,"12"
"14839","2021","PR","REPUBLICANOS",30,1081,30,7971087,38500,86555.21,"76"
"17240","2021","RJ","REPUBLICANOS",30,933,46,12408340,35388.11,166645.7,"118"
"17669","2021","RN","PP",38,1775,8,2373619,42360.13,4198.87,"17"
"17981","2021","RO","PP",38,1900,8,1175733,43300.63,14089.71,"13"
"18710","2021","RR","SOLIDARIEDADE",13,2496,8,333464,45240.67,2223.72,"42"
"19460","2021","RS","NOVO",8,1619,31,8354732,40504.04,676.25,"23"
"21193","2021","SC","PL",33,1314,16,5070212,39505.92,112456.75,"74"
"21854","2021","SE","UNIÃO",52,1292,8,1577058,39767.4,86608,"40"
"23243","2021","SP","PSB",32,873,70,33040411,36671.67,2278.79,"104"
"23847","2021","TO","PSC",8,620,8,1039439,39131.75,2059.3,"45"
"354","2022","AC","PCdoB",10,2246,8,547680,44260.6,78200,"27"
"625","2022","AL","PP",38,1485,9,2187967,40572.24,39431.11,"15"
"1327","2022","AM","PSD",35,1932,8,2428098,43198.26,233800,"1"
"2230","2022","AP","MDB",34,1791,8,512110,43002.92,90000,"60"
"3526","2022","BA","AVANTE",7,1060,39,10393170,38638.99,766.96,"100"
"4391","2022","CE","PSB",32,1687,22,6344483,42079.91,35200,"15"
"4763","2022","DF","PT",54,0,8,2084356,30416.8,532.39,"8"
"5577","2022","ES","PP",38,947,10,2754728,37052.05,6783.83,"42"
"6626","2022","GO","PSC",8,173,17,4454497,35135.2,1342.62,"68"
"7297","2022","MA","PCdoB",10,1524,18,4537237,41779.83,20988.22,"54"
"8269","2022","MG","PSD",35,624,53,15700966,35720.85,514.17,"57"
"8073","2022","MG","PSD",35,624,53,15700966,35720.85,26529.87,"21"
"9456","2022","MS","PSDB",29,878,8,1877982,40170.98,309,"1"
"10117","2022","MT","PP",38,873,8,2330281,39056.17,37907.15,"13"
"11566","2022","PA","PSB",32,1592,17,5499283,41855.59,120000,"86"
"12112","2022","PB","PSC",8,1716,12,2867649,41660.7,320.8,"56"
"12790","2022","PE","CIDADANIA",8,1657,25,6570072,41304.94,89740.78,"94"
"14215","2022","PI","REPUBLICANOS",30,1313,10,2370894,40599.91,134983.88,"33"
"14740","2022","PR","PSD",35,1081,30,7971087,38500,2708.9,"37"
"17148","2022","RJ","PATRIOTA",9,933,46,12408340,35388.11,285.66,"96"
"17773","2022","RN","MDB",34,1775,8,2373619,42360.13,36015.74,"38"
"18039","2022","RO","PSD",35,1900,8,1175733,43300.63,45995.21,"20"
"18667","2022","RR","REDE",1,2496,8,333464,45240.67,103152.8,"31"
"19917","2022","RS","PSOL",10,1619,31,8354732,40504.04,2046.14,"112"
"20861","2022","SC","PT",54,1314,16,5070212,39505.92,3583.82,"1"
"21728","2022","SE","PT",54,1292,8,1577058,39767.4,43320,"13"
"23452","2022","SP","PT",54,873,70,33040411,36671.67,262996.61,"150"
"23892","2022","TO","UNIÃO",52,620,8,1039439,39131.75,607.75,"63"
"493","2023","AC","PT",54,2246,8,547680,44260.6,9000,"32"
"592","2023","AL","PV",4,1485,9,2187967,40572.24,19400,"5"
"1373","2023","AM","PT",54,1932,8,2428098,43198.26,3000,"4"
"2059","2023","AP","MDB",34,1791,8,512110,43002.92,900,"8"
"3472","2023","BA","PT",54,1060,39,10393170,38638.99,98700,"85"
"4479","2023","CE","PT",54,1687,22,6344483,42079.91,53353.64,"16"
"4827","2023","DF","PL",33,0,8,2084356,30416.8,8032.56,"13"
"5445","2023","ES","REPUBLICANOS",30,947,10,2754728,37052.05,4552.72,"12"
"6712","2023","GO","PP",38,173,17,4454497,35135.2,6913.6,"49"
"7358","2023","MA","PCdoB",10,1524,18,4537237,41779.83,3000,"40"
"8216","2023","MG","PL",33,624,53,15700966,35720.85,521.08,"29"
"9970","2023","MS","PP",38,878,8,1877982,40170.98,921,"32"
"10369","2023","MT","MDB",34,873,8,2330281,39056.17,209.86,"26"
"10679","2023","PA","PSDB",29,1592,17,5499283,41855.59,10113.23,"11"
"12045","2023","PB","UNIÃO",52,1716,12,2867649,41660.7,359.8,"24"
"13650","2023","PE","AVANTE",7,1657,25,6570072,41304.94,7800.38,"65"
"14188","2023","PI","REPUBLICANOS",30,1313,10,2370894,40599.91,5435.46,"16"
"15161","2023","PR","PSB",32,1081,30,7971087,38500,9000,"87"
"16943","2023","RJ","PSB",32,933,46,12408340,35388.11,2700,"42"
"17594","2023","RN","PL",33,1775,8,2373619,42360.13,19713,"2"
"18034","2023","RO","PL",33,1900,8,1175733,43300.63,21975,"15"
"18519","2023","RR","REDE",1,2496,8,333464,45240.67,15000,"4"
"19955","2023","RS","PSD",35,1619,31,8354732,40504.04,17523.05,"94"
"20870","2023","SC","MDB",34,1314,16,5070212,39505.92,21633.51,"3"
"21797","2023","SE","PP",38,1292,8,1577058,39767.4,499.39,"22"
"23093","2023","SP","PP",38,873,70,33040411,36671.67,2046.04,"58"
"23881","2023","TO","PP",38,620,8,1039439,39131.75,35000,"32"
