"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"15986","2015","2","55","1","PR","PSL","TELEFONIA",1,1081,30,7865950,38500,40.87,"167"
"7580","2015","3","55","1","MA","PATRIOTA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",5,1524,18,4497336,41779.83,31.5,"73"
"8357","2015","4","55","1","MG","PP","ASSINATURA DE PUBLICAÇÕES",38,624,53,15248681,35720.85,24.9,"94"
"5508","2015","5","55","1","ES","PT","SERVIÇOS POSTAIS",68,947,10,2653536,37052.05,34.3,"65"
"6637","2015","6","55","1","GO","SOLIDARIEDADE","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",15,173,17,4331733,35135.2,45,"65"
"10470","2015","7","55","1","MS","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,878,8,1818937,40170.98,143.19,"103"
"23426","2015","8","55","1","SE","REPUBLICANOS","SERVIÇOS POSTAIS",21,1292,8,1454165,39767.4,148.17,"217"
"11303","2015","9","55","1","MT","DEM","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21,873,8,2189703,39056.17,211,"120"
"4932","2015","10","55","1","DF","SOLIDARIEDADE","TELEFONIA",15,0,8,1897677,30416.8,221.6,"52"
"4313","2015","11","55","1","CE","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1687,22,6271554,42079.91,139.5,"47"
"10462","2015","12","55","1","MS","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,878,8,1818937,40170.98,66,"97"
"4472","2016","1","55","2","CE","PROS","PASSAGEM AÉREA",11,1687,22,6271554,42079.91,-345,"49"
"10631","2016","2","55","2","MS","PDT","SERVIÇOS POSTAIS",20,878,8,1818937,40170.98,139.07,"127"
"3995","2016","3","55","2","CE","PROS","SERVIÇOS POSTAIS",11,1687,22,6271554,42079.91,49.38,"42"
"2850","2016","4","55","2","BA","PODEMOS","SERVIÇOS POSTAIS",9,1060,39,10185417,38638.99,106.05,"26"
"10430","2016","5","55","2","MS","PSDB","SERVIÇOS POSTAIS",54,878,8,1818937,40170.98,216.9,"106"
"20886","2016","6","55","2","RS","PT","ASSINATURA DE PUBLICAÇÕES",68,1619,31,8392033,40504.04,55,"231"
"31","2016","7","55","2","AC","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,2246,8,506724,44260.6,37.3,"2"
"6912","2016","8","55","2","GO","PSDB","ASSINATURA DE PUBLICAÇÕES",54,173,17,4331733,35135.2,117.5,"79"
"17813","2016","9","55","2","RJ","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,933,46,12141145,35388.11,141.8,"223"
"21054","2016","10","55","2","RS","PTB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",25,1619,31,8392033,40504.04,150.8,"257"
"5614","2016","11","55","2","ES","MDB","SERVIÇOS POSTAIS",65,947,10,2653536,37052.05,72.36,"69"
"17489","2016","12","55","2","RJ","SOLIDARIEDADE","SERVIÇOS POSTAIS",15,933,46,12141145,35388.11,86.82,"200"
"16243","2017","1","55","3","PR","CIDADANIA","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1081,30,7865950,38500,226,"197"
"1868","2017","2","55","3","AP","PL","SERVIÇOS POSTAIS",34,1791,8,455514,43002.92,61.4,"23"
"2742","2017","3","55","3","BA","PATRIOTA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",5,1060,39,10185417,38638.99,60.4,"27"
"2627","2017","4","55","3","BA","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,1060,39,10185417,38638.99,38,"23"
"12660","2017","5","55","3","PB","PTB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",25,1716,12,2835882,41660.7,165.45,"132"
"17473","2017","6","55","3","RJ","PDT","ASSINATURA DE PUBLICAÇÕES",20,933,46,12141145,35388.11,63.9,"179"
"22673","2017","7","55","3","SC","CIDADANIA","ASSINATURA DE PUBLICAÇÕES",10,1314,16,4859324,39505.92,84.9,"264"
"24894","2017","8","55","3","SP","SOLIDARIEDADE","SERVIÇOS POSTAIS",15,873,70,31998432,36671.67,175.69,"283"
"14164","2017","9","55","3","PE","PTB","SERVIÇOS POSTAIS",25,1657,25,6356307,41304.94,172.37,"141"
"14607","2017","10","55","3","PE","PDT","SERVIÇOS POSTAIS",20,1657,25,6356307,41304.94,126.21,"143"
"6837","2017","11","55","3","GO","CIDADANIA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,173,17,4331733,35135.2,31.3,"71"
"3157","2017","12","55","3","BA","PL","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,1060,39,10185417,38638.99,211.42,"41"
"17370","2018","1","55","4","RJ","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,933,46,12141145,35388.11,194.28,"210"
"24703","2018","2","55","4","SP","REPUBLICANOS","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,873,70,31998432,36671.67,195,"260"
"20999","2018","3","55","4","RS","PSD","SERVIÇOS POSTAIS",36,1619,31,8392033,40504.04,24.4,"244"
"22737","2018","4","55","4","SC","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1314,16,4859324,39505.92,132.08,"236"
"16037","2018","5","55","4","PR","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,1081,30,7865950,38500,139.15,"175"
"22904","2018","6","55","4","SC","CIDADANIA","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",10,1314,16,4859324,39505.92,107,"242"
"17213","2018","7","55","4","RJ","PSOL","ASSINATURA DE PUBLICAÇÕES",5,933,46,12141145,35388.11,135.9,"174"
"24815","2018","8","55","4","SP","PTB","SERVIÇOS POSTAIS",25,873,70,31998432,36671.67,167.94,"299"
"12540","2018","9","55","4","PA","SOLIDARIEDADE","SERVIÇOS POSTAIS",15,1592,17,5188450,41855.59,55.64,"140"
"19645","2018","10","55","4","RO","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,1900,8,1127154,43300.63,122.46,"214"
"11686","2018","11","55","4","PA","PSC","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",13,1592,17,5188450,41855.59,25,"123"
"23024","2018","12","55","4","SC","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,1314,16,4859324,39505.92,174.82,"240"
"20747","2019","1","55","5","RS","MDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",65,1619,31,8392033,40504.04,150,"232"
"620","2019","2","56","1","AL","PSD","SERVIÇOS POSTAIS",35,1485,9,2187967,40572.24,95,"8"
"18836","2019","3","56","1","RN","PL","SERVIÇOS POSTAIS",33,1775,8,2373619,42360.13,117.88,"234"
"21513","2019","4","56","1","RS","PSOL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,1619,31,8354732,40504.04,62.31,"229"
"22471","2019","5","56","1","SC","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,1314,16,5070212,39505.92,182.22,"252"
"6442","2019","6","56","1","GO","PATRIOTA","TELEFONIA",9,173,17,4454497,35135.2,56.02,"70"
"1330","2019","7","56","1","AM","PL","SERVIÇOS POSTAIS",33,1932,8,2428098,43198.26,10.7,"14"
"3499","2019","8","56","1","BA","MDB","TELEFONIA",34,1060,39,10393170,38638.99,17.38,"39"
"19977","2019","9","56","1","RR","REDE","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",1,2496,8,333464,45240.67,191.79,"229"
"1842","2019","10","56","1","AP","PSB","TELEFONIA",32,1791,8,512110,43002.92,134.05,"25"
"18320","2019","11","56","1","RJ","UNIÃO","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",52,933,46,12408340,35388.11,180,"181"
"18914","2019","12","56","1","RN","PSB","PASSAGEM AÉREA",32,1775,8,2373619,42360.13,-4094.3,"259"
"19740","2020","1","56","2","RO","REPUBLICANOS","SERVIÇOS POSTAIS",30,1900,8,1175733,43300.63,72.05,"217"
"21341","2020","2","56","2","RS","PDT","SERVIÇOS POSTAIS",28,1619,31,8354732,40504.04,188.27,"245"
"9516","2020","3","56","2","MG","UNIÃO","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",52,624,53,15700966,35720.85,42.54,"126"
"8022","2020","4","56","2","MA","UNIÃO","SERVIÇOS POSTAIS",52,1524,18,4537237,41779.83,167.16,"56"
"9133","2020","5","56","2","MG","PV","COMBUSTÍVEIS E LUBRIFICANTES",4,624,53,15700966,35720.85,150,"84"
"10720","2020","6","56","2","MS","UNIÃO","SERVIÇOS POSTAIS",52,878,8,1877982,40170.98,71.83,"99"
"21214","2020","7","56","2","RS","PDT","SERVIÇOS POSTAIS",28,1619,31,8354732,40504.04,43.5,"197"
"9635","2020","8","56","2","MG","PSD","SERVIÇOS POSTAIS",35,624,53,15700966,35720.85,57.7,"99"
"3544","2020","9","56","2","BA","PT","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",54,1060,39,10393170,38638.99,205.2,"31"
"3745","2020","10","56","2","CE","PSD","TELEFONIA",35,1687,22,6344483,42079.91,1.37,"31"
"682","2020","11","56","2","AL","MDB","TELEFONIA",34,1485,9,2187967,40572.24,37.88,"4"
"16732","2020","12","56","2","PR","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",33,1081,30,7971087,38500,64.69,"156"
"18033","2021","1","56","3","RJ","REPUBLICANOS","PASSAGEM AÉREA",30,933,46,12408340,35388.11,-1280.53,"164"
"24446","2021","2","56","3","SP","MDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,873,70,33040411,36671.67,166.26,"242"
"13690","2021","3","56","3","PE","PDT","SERVIÇOS POSTAIS",28,1657,25,6570072,41304.94,224.24,"137"
"9760","2021","4","56","3","MG","PP","ASSINATURA DE PUBLICAÇÕES",38,624,53,15700966,35720.85,55.9,"91"
"25369","2021","5","56","3","TO","PSC","SERVIÇOS POSTAIS",8,620,8,1039439,39131.75,45.07,"242"
"1267","2021","6","56","3","AM","UNIÃO","SERVIÇOS POSTAIS",52,1932,8,2428098,43198.26,51.91,"14"
"20500","2021","7","56","3","RS","PODEMOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",17,1619,31,8354732,40504.04,180,"186"
"18505","2021","8","56","3","RJ","PSD","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",35,933,46,12408340,35388.11,70,"176"
"21709","2021","9","56","3","RS","PSDB","DIVULGAÇÃO MANDATO",29,1619,31,8354732,40504.04,54.33,"208"
"25131","2021","10","56","3","TO","PSC","SERVIÇOS POSTAIS",8,620,8,1039439,39131.75,60.98,"254"
"1838","2021","11","56","3","AP","PCdoB","TELEFONIA",10,1791,8,512110,43002.92,122.04,"18"
"13957","2021","12","56","3","PE","PP","SERVIÇOS POSTAIS",38,1657,25,6570072,41304.94,34.61,"135"
"7945","2022","1","56","4","MA","PSB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",32,1524,18,4537237,41779.83,55,"60"
"19812","2022","2","56","4","RO","PODEMOS","TELEFONIA",17,1900,8,1175733,43300.63,143.24,"184"
"8175","2022","3","56","4","MA","PT","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",54,1524,18,4537237,41779.83,149.8,"80"
"3258","2022","4","56","4","BA","PSB","SERVIÇOS POSTAIS",32,1060,39,10393170,38638.99,70.79,"37"
"10744","2022","5","56","4","MS","PP","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",38,878,8,1877982,40170.98,113.5,"102"
"1724","2022","6","56","4","AP","REPUBLICANOS","TELEFONIA",30,1791,8,512110,43002.92,138.15,"15"
"16747","2022","7","56","4","PR","PT","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",54,1081,30,7971087,38500,134.22,"159"
"2200","2022","8","56","4","AP","PSDB","TELEFONIA",29,1791,8,512110,43002.92,1.01,"20"
"11094","2022","9","56","4","MT","PL","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",33,873,8,2330281,39056.17,56,"104"
"3250","2022","10","56","4","BA","PL","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",33,1060,39,10393170,38638.99,115,"36"
"10245","2022","11","56","4","MS","PSD","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",35,878,8,1877982,40170.98,78.73,"113"
"6031","2022","12","56","4","GO","REPUBLICANOS","TELEFONIA",30,173,17,4454497,35135.2,78.9,"67"
"5274","2023","1","56","5","ES","UNIÃO","TELEFONIA",52,947,10,2754728,37052.05,0.75,"49"
